1 0.48 135.77
2 0.52 135.65
3 0.48 135.04
4 0.52 134.81
5 0.52 136.22
6 0.49 134.23
7 0.55 137.33
8 0.53 134.76
9 0.51 134.14
10 0.53 132.07
11 0.52 133.26
12 0.53 134.83
13 0.51 133.60
14 0.53 130.92
15 0.52 130.57
16 0.53 129.67
17 0.52 132.03
18 0.52 131.40
19 0.51 131.70
20 0.52 135.24
21 0.53 132.94
22 0.49 131.52
23 0.49 130.74
24 0.47 131.35
25 0.44 130.80
26 0.47 128.84
27 0.45 129.35
28 0.44 131.33
29 0.46 130.29
30 0.44 131.66
31 0.44 131.64
32 0.43 132.06
33 0.46 132.24
34 0.44 133.28
35 0.43 134.82
36 0.44 135.18
37 0.45 136.17
38 0.45 136.06
39 0.49 137.78
40 0.45 137.02
41 0.47 138.42
42 0.48 137.98
43 0.48 138.84
44 0.48 137.99
45 0.51 138.49
46 0.46 138.66
47 0.48 138.35
48 0.48 140.02
49 0.49 139.36
50 0.50 139.45
51 0.49 134.79
52 0.47 139.19
53 0.47 141.05
54 0.47 139.77
55 0.46 138.90
56 0.45 139.51
57 0.44 139.69
58 0.45 139.20
59 0.45 139.58
60 0.45 139.70
61 0.45 138.84
62 0.44 138.15
63 0.46 136.84
64 0.45 130.38
65 0.45 130.52
66 0.44 134.44
67 0.46 131.82
68 0.46 134.11
69 0.46 131.75
70 0.45 131.68
71 0.45 131.98
72 0.45 132.24
73 0.45 133.23
74 0.45 133.02
75 0.44 133.04
76 0.46 133.48
77 0.43 133.38
78 0.42 137.00
79 0.43 137.47
80 0.43 137.87
81 0.43 137.71
82 0.43 137.69
83 0.42 137.56
84 0.42 139.30
85 0.45 140.57
86 0.43 140.01
87 0.43 139.90
88 0.44 139.39
89 0.42 136.25
90 0.42 139.04
91 0.41 137.42
92 0.40 137.14
93 0.43 135.92
94 0.41 134.98
95 0.44 134.44
96 0.45 134.12
97 0.43 135.56
98 0.47 134.54
99 0.44 134.86
100 0.44 134.15
101 0.40 132.58
102 0.42 131.81
103 0.44 130.11
104 0.42 133.33
105 0.42 132.48
106 0.45 130.97
107 0.45 130.80
108 0.46 132.22
109 0.46 133.42
110 0.44 134.62
111 0.46 136.74
112 0.46 135.31
113 0.43 132.94
114 0.43 132.86
115 0.44 131.71
116 0.43 133.42
117 0.45 130.57
118 0.43 130.38
119 0.41 129.59
120 0.41 129.30
121 0.44 129.73
122 0.44 129.10
123 0.42 128.59
124 0.44 127.55
125 0.46 126.81
126 0.45 125.35
127 0.45 124.44
128 0.46 127.42
129 0.47 126.25
130 0.46 125.47
131 0.41 125.99
132 0.42 125.59
133 0.44 128.51
134 0.41 131.42
135 0.40 133.49
136 0.42 134.28
137 0.41 132.15
138 0.44 133.10
139 0.45 130.60
140 0.46 129.52
141 0.47 126.95
142 0.46 125.52
143 0.46 127.20
144 0.48 125.02
145 0.48 125.88
146 0.46 125.64
147 0.44 124.86
148 0.42 126.41
149 0.43 125.64
150 0.42 126.52
151 0.43 124.98
152 0.43 124.25
153 0.45 121.64
154 0.46 123.84
155 0.45 122.57
156 0.44 123.07
157 0.43 122.86
158 0.43 122.16
159 0.44 121.53
160 0.43 120.31
161 0.41 119.32
162 0.42 117.84
163 0.42 119.17
164 0.43 119.82
165 0.42 120.50
166 0.42 120.16
167 0.46 117.31
168 0.44 117.40
169 0.42 118.97
170 0.47 120.70
171 0.44 121.19
172 0.46 121.48
173 0.44 121.30
174 0.44 120.14
175 0.46 119.26
176 0.44 119.43
177 0.47 116.44
178 0.45 114.56
179 0.46 114.76
180 0.46 116.53
181 0.45 117.78
182 0.47 118.32
183 0.46 119.98
184 0.46 121.12
185 0.45 122.09
186 0.46 123.65
187 0.45 123.43
188 0.44 123.44
189 0.46 123.15
190 0.48 121.74
191 0.46 123.31
192 0.44 124.17
193 0.43 123.82
194 0.43 123.40
195 0.44 125.06
196 0.43 125.21
197 0.45 124.14
198 0.44 122.67
199 0.45 123.61
200 0.44 122.31
